topicId,words
118,king church martin luther mlk harlem
119,million company billion shares year share
120,years age population related older data
121,tax budget year billion cuts spending
122,book books life house week john
123,los angeles move california sports file
124,states afghanistan months united local people
125,jazz wild playing women female band
126,important considered generally point driving shift
127,workers jobs job years employees people
128,children child pediatric age abuse childhood
129,military forces war army soldiers special
130,system spinal cord cervical based data
131,chile trade fruit growers chilean free
132,feb york times nyt left utah
133,research information important process harvard approach
134,economy economic recovery rate recession rates
135,state campaign republican democratic governor election
136,time aol warner cable media month
137,time change improvement improved effect significant
138,canadian spears fat time britney good
139,irish green day patrick ireland march
140,grade high hamilton music monkey murray
141,show young teen star age elvis
142,political party government public country support
143,super bowl orleans england sunday patriots
144,brain levels serum injury patients protein
145,states united american america years cuba
146,movie rated directed starring tom violence
147,nuclear waste department fuel material mountain
148,group groups control study compared significant
149,computer software system technology microsoft systems
150,nyt map graphics service weekly locator
151,year sport tuesday snowboarding ski run
152,auction washington sold sale wright american
153,radiation flap tumor dose treatment brain
154,wrote made wife called father began
155,dance ballet dancers music company show
156,enron company lay energy houston collapse
157,human power body legs control pin
158,music orchestra opera symphony hall center
159,beach palm post fla year florida
160,nerve facial optic muscle palsy surgical
161,event show audience crowd rodeo night
162,friday tour time golf year faces
163,line toy toys game fall popular
164,israel christian based jews god american
165,world japan forum economic years system
166,writing business book century published writers
167,city street park hotel open visitors
168,corps relief aid dog dogs school
169,percent year quarter sales fourth growth
170,game team season coach players games
171,health care medical services hospital costs
172,bone mandibular fracture treatment oral sinus
173,story newspapers filed cox writes phone
174,left hand handed gene handedness humans
175,city york center sept trade mayor
176,book beach american post review books
177,estate market buy real weather people
178,lake salt city olympics olympic oly
179,los para con dice del por
180,story life sense man end point
181,puerto outlook times america future year
182,india indian pakistan kashmir years earth
183,color times variety american scientific special
184,moved everglades people military ground past
185,energy power gas oil environmental air
186,percent market stock stocks index points
187,patients trauma mortality care hospital injury
188,washington news category filed column houston
189,patients brain lesions cortex frontal temporal
190,united states bush japan world countries
191,security government information public time terrorists
192,state county building site buildings area
193,york nyt times jan left year
194,time celebrities bags style gift fashion
195,airlines flight united air airline airport
196,eye visual eyes ocular acuity corneal
197,book books anderson moving olympics categories
198,patients study results methods clinical conclusion
199,fish patterns found nature species wildlife
200,pressure brain cerebral icp intracranial patients
